country,friendship,power,usthem,session_number,model_number
luxembourg,1.1247069094622035,1.7400274612025608,-0.5105658616664723,100,0
barbados,0.020526174531171174,-1.028241720140343,-0.5543734400220867,100,0
algeria,0.23310263828541006,-0.6347176394827321,-1.4644932670870179,100,0
botswana,-1.4575333234118877,-1.080805746130203,0.09969543179318897,100,0
rwanda,-1.4164183981231373,-0.6009372019595421,-0.07108211218268598,100,0
mongolia,-0.14399348530970002,0.39940891776739235,-0.4992458803628793,100,0
somalia,0.31137655729905694,-1.8530679992439247,-0.3157955736556413,100,0
chad,0.76825206381314,0.22944549987206675,-0.6046232910185001,100,0
vanuatu,-0.5891929601442886,0.007414117034244188,0.7745539191291086,100,0
malawi,-1.461436926321852,-2.4157674728638705,0.049518780467777725,100,0
nepal,-0.6109424799910328,-0.7792547088852917,1.5273067621845684,100,0
dominica,2.9114337874715535,4.8186775891886455,-0.18866447285091012,100,0
trinidad_and_tobago,0.3548905712147388,1.5931074418098832,0.038440709834339636,100,0
senegal,-0.2875163189070509,0.31337809163402186,1.2358537635850408,100,0
guyana,1.6190002463168545,0.14445778699797657,-0.6521442942306276,100,0
qatar,-1.3630996703006564,-1.0953154821756583,-0.32177993421058154,100,0
north_yemen,-0.8737244429124839,-0.5142468444677843,-0.7672881306612811,100,0
congo,1.8939344474037298,1.1852685640176046,2.042649346334262,100,0
swaziland,0.07856714063481283,0.08958867006038815,0.14864733556776646,100,0
ghana,2.3605992664088613,1.3086119169136166,-1.0040068653604606,100,0
nauru,-0.25026289300735244,-0.8467612383985675,-1.2512907646860227,100,0
solomon_islands,0.7503702454024209,1.8134181750582186,0.18107863744720296,100,0
sierra_leone,1.4967775640411793,0.20569420985086959,0.31039328795925514,100,0
lesotho,-0.2726302482800248,0.7255631288904403,0.01355509221636341,100,0
mali,0.5019385902242842,-2.593442023804032,-1.6902058574470802,100,0
liechtenstein,2.614429938501005,0.8485440070447187,-0.9727509522728753,100,0
papua_new_guinea,-0.006694632245094741,0.043582533129627045,0.10123587914535444,100,0
guinea_bissau,1.1105726280089605,0.708000864418146,-0.3156815779588002,100,0
benin,0.6043913915518448,-0.2920561724749844,-0.6804799658234054,100,0
ivory_coast,0.3526844587606286,0.2612446283587842,1.0887945613815617,100,0
united_arab_emirates,0.21087931388141481,1.2281693873659978,0.1950746848905348,100,0
russia,-2.580048908906467,-0.7253411036307067,-0.2450726870613177,100,1
nicaragua,-3.850111535823203,-1.3741508218702378,-6.895102555907068e-4,100,1
mexico,1.735814993010259,1.0087280782466996,1.449935764469668,100,1
japan,-2.020058388786681,-0.06807756224060686,1.1571916846413104,100,1
vietnam,-0.923033919620953,-0.6909824582305861,-0.0489510485475883,100,1
panama,-1.0659969568393082,-0.7734461546219401,0.6125283264542036,100,1
israel,1.5410284340682499,1.0979224850991718,-0.09072385627664953,100,1
south_africa,-2.531884701078276,-0.23504716380881102,1.2712976758162053,100,1
canada,-0.47350972352615184,1.1613478456771005,0.5876804818565925,100,1
iran,-3.0879435093661383,-2.8383305416827187,0.5127343759086187,100,1
afghanistan,-4.0410621069549135,-1.6815345823015262,1.0215609651699125,100,1
el_salvador,-2.3870299866488707,-2.886999297100816,-0.7984770051025329,100,1
cuba,-1.450783195933226,-0.9060650308642952,-0.599605396130564,100,1
china,0.19407210999759442,-0.1415860478246966,1.390363545456001,100,1
united_kingdom,0.7981047868654366,3.193268630641311,-1.3990524687017438,100,1
